,word
0,ABOUT
1,ABOVE
2,ABUSE
3,ACTOR
4,ADAPT
5,ADMIT
6,ADOPT
7,ADULT
8,AFTER
9,AGAIN
10,AGENT
11,AGREE
12,AHEAD
13,ALARM
14,ALIVE
15,ALLOW
16,ALONE
17,ALONG
18,ALOUD
19,ALTER
20,AMAZE
21,AMONG
22,AMUSE
23,ANGER
24,ANGLE
25,ANGRY
26,ANKLE
27,ANNOY
28,ANTI-
29,APART
30,APPLE
31,APPLY
32,APRIL
33,ARGUE
34,ARISE
35,ARMED
36,ARROW
37,ASIDE
38,AVOID
39,AWAKE
40,AWARD
41,AWARE
42,AWFUL
43,BADLY
44,BASED
45,BASIC
46,BASIS
47,BEACH
48,BEARD
49,BEGIN
50,BELOW
51,BID_1
52,BIRTH
53,BLACK
54,BLADE
55,BLAME
56,BLANK
57,BLIND
58,BLOCK
59,BLOOD
60,BOARD
61,BORED
62,BOUND
63,BRAIN
64,BRAND
65,BRAVE
66,BREAD
67,BREAK
68,BREED
69,BRICK
70,BRIEF
71,BRING
72,BROAD
73,BROWN
74,BRUSH
75,BUILD
76,BUNCH
77,BURNT
78,BURST
79,BUYER
80,CABLE
81,CAN_1
82,CAN_2
83,CANDY
84,CARRY
85,CATCH
86,CAUSE
87,CEASE
88,CHAIN
89,CHAIR
90,CHART
91,CHASE
92,CHEAP
93,CHEAT
94,CHECK
95,CHEEK
96,CHEST
97,CHIEF
98,CHILD
99,CIVIL
100,CLAIM
101,CLASS
102,CLEAN
103,CLEAR
104,CLERK
105,CLICK
106,CLIMB
107,CLOCK
108,CLOTH
109,CLOUD
110,COACH
111,COAST
112,COUGH
113,COULD
114,COUNT
115,COURT
116,COVER
117,CRACK
118,CRAFT
119,CRASH
120,CRAZY
121,CREAM
122,CRIME
123,CRISP
124,CROSS
125,CROWD
126,CROWN
127,CRUEL
128,CRUSH
129,CURLY
130,CURVE
131,CYCLE
132,DAILY
133,DANCE
134,DEATH
135,DECAY
136,DELAY
137,DEPTH
138,DIARY
139,DIRTY
140,DOUBT
141,DO_UP
142,DOZEN
143,DRAFT
144,DRAMA
145,DREAM
146,DRESS
147,DRINK
148,DRIVE
149,DRUNK
150,DYING
151,EARLY
152,EARTH
153,EIGHT
154,ELBOW
155,ELECT
156,EMAIL
157,EMPTY
158,ENEMY
159,ENJOY
160,ENTER
161,ENTRY
162,EQUAL
163,ERROR
164,ESSAY
165,EVENT
166,EVERY
167,EXACT
168,EXIST
169,EXTRA
170,FAINT
171,FAITH
172,FALSE
173,FANCY
174,FAULT
175,FENCE
176,FETCH
